,Unnamed: 0,Title,Price,Location,Description,Condition,year,Make,Model,Trim,Color,Body Type,Number of Doors,Number of Seats,Drive Train,Transmission,Mileage
10,10,2018 Subaru Forester 2.5L TOURING PKG AUT0 AWD H/SEATS BACKUP CAMERA,"$22,990.00 ",City of Toronto 11/10/2022,"SUV....., AWD.........AUTO...........A/C........HD RADIO.........HEATED SEATS..............BACK UP CAMERA............ADJUSTABLE STEERING.........CRUISE CONTROL.........ALLOY WHEELS.........KEYLESS ...
Automatic | 106,858 km",Used,2018.0,Subaru,Forester,2.5L TOURING PKG AUT0 AWD H/SEATS BACKUP CAMERA,Other,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"106,858"
11,11,2019 Audi TT 45 Quattro,"$52,990.00 ",Provincial Top Ad:  Mississauga / Peel Region < 10 hours ago,"CLEAN CARFAX TT 45 QUATTRO AWD 2.0L Turbo 4-Cylinder 1 KEY Alloy Wheels Parking Sensors Backup Camera Blind Spot Monitoring Bluetooth Connectivity Heated Seats Leather Seats Navigation System Voice ...
Automatic | 26,659 km | CARFAX Canada Report",Used,2019.0,Audi,TT,45 Quattro,White,Hatchback,2,4,All-wheel drive (AWD),Automatic,"26,659"
12,12,2021 GMC SIERRA 2500HD,"$89,995.00
$90,999.00",Oakville / Halton Region 15/10/2022,"THIS 2021 GMC SIERRA 2500 DENALI HAS - REMOTE KEYLESS ENTRY - REMOTE VEHICLE START - OUTSIDE HEATED, POWER, AUTO-DIMMING TRAILERING MIRRORS - POWER SUNROOF - POWER REAR SLIDING WINDOW - GMC MULTIPRO ...
Automatic | 61,638 km | CARFAX Canada Report",Used,2021.0,GMC,Sierra 2500,"4WD Crew Denali, NAV, SUNROOF , Z71, DIESEL",Other,Other,,,Other,Automatic,"61,638"
13,13,2021 Nissan Maxima SL | Leather | Sunroof,"$43,395.00 ",Mississauga / Peel Region Yesterday,"This is a great vehicle for anyone and great for daily commuters, the safety features makes it great for families, the spacious interior and cargo space make it great for road trips and the ...
Your Mississauga Hyundai Dealer
Automatic | 20,700 km | CARFAX Canada Report",Used,2021.0,Nissan,Maxima,SL | Leather | Sunroof,Red,Sedan,4,5,Front-wheel drive (FWD),Automatic,"20,700"
14,14,"2016 Nissan Murano SV AWD SAFETY FEATURES, BACKUP CAMERA","$22,673.00 ",Provincial Top Ad:  Ottawa < 11 hours ago,"2016 Nissan Murano SV AWD CVT with Xtronic 3.5L V6 DOHC 24V | Recent Oil Change, | Passed Inspection, CVT with Xtronic, AWD, Air Conditioning, Brake assist, Compass, Dual front impact airbags, Dual ...
Automatic | 111,708 km | CARFAX Canada Report",Used,2016.0,Nissan,Murano,"SV AWD SAFETY FEATURES, BACKUP CAMERA, HEATED SEATS, BLUETOOTH",White,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"111,708"
15,15,2022 Ram 1500 BIG HORN,"$61,898.00
MSRP: $69,810.00",NEW CAR City of Toronto 10/10/2022,"Sunroof, Big Horn Level 2 Equipment, Uconnect! Discover the inner beauty and rugged exterior of this stylish Ram 1500. The 2022 Ram 1500 does more than dominate the ...
Automatic",New,2022.0,Ram,1500,BIG HORN,Black,Pickup Truck,4,5,Other,Automatic,
16,16,2018 Subaru Outback TOURING W/TECH PKG AUT0 AWD SUNROOF P/SEAT CAMERA,"$25,500.00 ",City of Toronto 18/10/2022,"SUV....., AWD.........AUTO...........A/C.........POWER SUNROOF..........HEATED SEATS..........BACKUP CAMERA..........POWER SEAT........POWER TAILGATE..........CRUISE CONTROL.......ALLOY ...
Automatic | 66,966 km",Used,2018.0,Subaru,Outback,TOURING W/TECH PKG AUT0 AWD SUNROOF P/SEAT CAMERA,Other,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"66,966"
17,17,2020 Chevrolet Express Cargo Van WT - 4G LTE,"$49,995.00 ",Provincial Top Ad:  Ottawa 15/10/2022,"4G LTE, Easy Clean Floors, Rear Vision Camera, Power Windows, Power Doors! This 2020 Chevrolet Express Cargo Van is for sale today. This Chevrolet Express Cargo is a full-size van with two seats and ...
Automatic | 72,170 km | CARFAX Canada Report",Used,2020.0,Chevrolet,Express,WT,White,"Minivan, Van",,,Rear-wheel drive (RWD),Automatic,"72,170"
18,18,Mercedes Benz Convertible CLK-430-2002 Soft Top-Low Mileage,"$11,500.00 ",Oshawa / Durham Region 27/08/2022,"2002-CLK-430 w/8 Cyl.4.3 engine in good condition,no issues. Recently inspected,certified and serviced. Power electric Soft Top working nicely. With 166000 km and running smooth. New tires and ...
Automatic | 166,474 km",Used,2002.0,Mercedes-Benz,CLK-Class,,Blue,Convertible,2,4,Rear-wheel drive (RWD),Automatic,"166,474"
19,19,2018 Subaru Forester 2.5L CONVENIENCE PKG AUT0 AWD H/SEATS REAR CAMERA,"$20,850.00 ",City of Toronto 18/10/2022,"SUV....., AWD.........AUTO...........A/C.................HEATED SEATS..............BACK UP CAMERA................CRUISE CONTROL..............KEYLESS ENTRY AND MUCH MORE..................... ...
Automatic | 155,508 km",Used,2018.0,Subaru,Forester,2.5L CONVENIENCE PKG AUT0 AWD H/SEATS REAR CAMERA,Other,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"155,508"
20,20,2019 Chevrolet Cruze LT ONE OWNER | NO ACCIDENT | SAFETY CERTIFIED,"$18,955.00 ",Provincial Top Ad:  Oshawa / Durham Region 15/10/2022,"New Price! 2019 Chevrolet Cruze LT Turbo LT TURBO ONE OWNER NO ACCIDENT Summit White 6-Speed Automatic 1.4L DOHC FWD NO ACCIDENTS,ONE OWNER, MARKET VALUE PRICING ,Alloy wheels,Apple CarPlay Android ...
Automatic | 118,879 km | CARFAX Canada Report",Used,2019.0,Chevrolet,Cruze,LT ONE OWNER | NO ACCIDENT | SAFETY CERTIFIED,Other,Other,,,Front-wheel drive (FWD),Automatic,"118,879"
21,21,"2008 Porsche 911 Carrera Cabriolet, 320HP, MANUAL, RWD, BOSE, PSM","$59,800.00 ",City of Toronto 14/10/2022,"2008 PORSCHE 911 CARRERA CABRIOLET | 3.6L 6-CYLINDER | 320HP | 6-SPEED MANUAL | RWD | 19in. CARRERA CLASSIC WHEELS | BOSE HIGH END SOUND PACKAGE | SAND BEIGE LEATHER | PORSCHE STABILITY MANAGEMENT ...
The future of luxury lives here.
Manual | 71,294 km",Used,2008.0,Porsche,911,"Carrera Cabriolet, 320HP, MANUAL, RWD, BOSE, PSM",Black,Convertible,2,4,Rear-wheel drive (RWD),Manual,"71,294"
22,22,2017 Hyundai Santa Fe Sport,"$23,800.00 ",Mississauga / Peel Region < 20 hours ago,"Engine: 4 Cylinder Engine 2.4L L/100Km City: 12.0 L/100Km Hwy: 9.1
Automatic | 165,958 km | CARFAX Canada Report",Used,2017.0,Hyundai,Santa Fe,AWD 2.4L Luxury,Grey,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"165,958"
23,23,2019 Volkswagen Golf SportWagen,"$28,888.00 ",Provincial Top Ad:  Ottawa < 5 hours ago,"Recent Arrival! White 2019 Volkswagen Golf SportWagen 4Motion AWD 6-Speed DSG Automatic with Tiptronic 1.8L I4 Turbocharged DOHC 16V SULEV II 168hp Fresh Oil Change, Alloy wheels, Exterior Parking ...
Automatic | 86,684 km | CARFAX Canada Report",Used,2019.0,Volkswagen,Golf,,White,Wagon,4,5,All-wheel drive (AWD),Automatic,"86,684"
24,24,2018 Lincoln MKC Reserve,"$24,680.00 ",Oshawa / Durham Region < 16 hours ago,"The 2018 Lincoln MKC Reserve AWD is powered by a 2.0L 4 cylinder mated to a 6 speed automatic transmission. The 2018 Lincoln MKC Reserve AWD comes equipped with, remote start, navigation, heated and ...
Automatic | 161,207 km | CARFAX Canada Report",Used,2018.0,Lincoln,MKC,Reserve,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"161,207"
25,25,2013 Ford Econoline E-250 - Power Options - Shelves/Roof Rack/Divider,"$21,888.00
$22,488.00",City of Toronto 19/10/2022,"Just Arrived - Chrome Package - 2013 Ford Econoline E-250 Standard Size Cargo Van - Equipped with 4.6L V8 Gasoline Engine, Auto, AC, ABS, Power Windows, Locks, Mirrors, Compustar Alarm System, ...
Automatic | 145,000 km",Used,2013.0,Ford,E-Series Van,E-250 - Power Options - Shelves/Roof Rack/Divider,Other,"Minivan, Van",2,2,Rear-wheel drive (RWD),Automatic,"145,000"
26,26,2019 Volkswagen Golf SportWagen AWD | LOW KM | BACKUP CAM |,"$24,980.00 ",Provincial Top Ad:  Cambridge 19/10/2022,"This Vehicle Has 82,619 KMs, Single Owner, Local Onatrio Vehicle, 1.8L I-4 Engine, 6 Speed Automatic Transmission, One Low Price! KEY FEATURES: Heated Front Seats, Remote Start, Automatic Climate ...
Automatic | 82,619 km | CARFAX Canada Report",Used,2019.0,Volkswagen,Golf,AWD | LOW KM | BACKUP CAM |,Other,Wagon,4,5,All-wheel drive (AWD),Automatic,"82,619"
27,27,2014 Toyota Matrix 4dr Wgn Auto FWD,"$10,770.00 ",City of Toronto 16/10/2022,"CLEAN CARFAX NO ACCIDENT HISTORY Engine: 1.8 L 4 cylinder
Automatic | 208,000 km",Used,2014.0,Toyota,Matrix,"4dr Wgn AUTO, FWD",Red,Wagon,4,5,Front-wheel drive (FWD),Automatic,"208,000"
28,28,2020 GMC Terrain Denali AWD 4dr Denali,"$45,888.00 ",Mississauga / Peel Region 27/09/2022,"One owner accident free in excellent condition with balance of factory warranty
Certified Pre-Owned Vehicles all come with 150 point inspection, 24-hr roadside assistance, exchange privilege & warranty. Warranty includes at least 3 months or 5000 KMs.
Automatic | 38,043 km | Certified Pre-owned",Used,2020.0,GMC,Terrain,Denali,Other,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"38,043"
29,29,2018 BMW 430i xDrive Gran Coupe M PACKAGE | GRAN-COUPE| NAVIGATION,"$32,950.00 ",City of Toronto 07/10/2022,"CANADIAN VEHICLE FROM ONTARIO CARFAX REPORT AVAILABLE. BEAUTIFUL WHITE ON BLACK COLOR COMBO ON THIS 2018 BMW 430I XDRIVE. THIS VEHICLE IS EQUIPPED WITH NAVIGATION, REVERSE BACK UP CAMERA, FRONT AND ...
Automatic | 77,541 km",Used,2018.0,BMW,4-Series,M PACKAGE | GRAN-COUPE| NAVIGATION,White,Sedan,4,5,All-wheel drive (AWD),Automatic,"77,541"
30,30,2022 RAM 1500 Classic Express 4x4 Crew Cab 5'7 Box Hard Tonneau,"$51,998.00
MSRP: $60,465.00",NEW CAR Mississauga / Peel Region < 1 minute ago,"This RAM 1500 Classic has a strong Regular Unleaded V-8 5.7 L/345 engine powering this Automatic transmission. *This RAM 1500 Classic Features the Following Options * Night Edition $1,395 Electronic ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic",New,2022.0,Ram,1500,Express 4x4 Crew Cab 5'7 Box Hard Tonneau Cover Night Edition Apple Carplay Bluetooth 20Alloy Rims,Other,Pickup Truck,4,6,4 x 4,Automatic,
31,31,2019 Subaru Outback 3.6R Premier w-EyeSight Pkg >>No accident<<,"$39,585.00 ",City of Toronto < 1 minute ago,"One owner with low mileage and no accident Feature with Eyesight function, 3.6L engine, CVT automatic transmission with paddle shifting, 4 wheel control, Power sunroof and tailgate, Bluetooth ...
Automatic | 57,206 km | CARFAX Canada Report",Used,2019.0,Subaru,Outback,3.6R Premier w-EyeSight Pkg &gt;&gt;No accident&lt;&lt;,Other,Wagon,4,5,All-wheel drive (AWD),Automatic,"57,206"
32,32,2019 Mercedes-Benz GLA 45 AMG I PANO I NAVI I 19 IN WHEELS,"$49,910.00 ",Mississauga / Peel Region < 2 minutes ago,"Navigation, GPS, Navi, Bluetooth, Panoramic Sunroof / Moonroof, Back-Up Camera, Leather Interior, Local Trade, 1 Owner, Power Liftgate, Heated Seats, Sirius XM Radio, factory warranty Until October ...
WINNER OF 2014 USED CAR DEALER OF THE YEAR AND 2015 CONSUMER SATISFACTION AWARD
Automatic | 65,631 km",Used,2019.0,Mercedes-AMG,GLA,45 AMG I PANO I NAVI I 19 IN WHEELS,Other,"SUV, Crossover",4,5,All-wheel drive (AWD),Automatic,"65,631"
33,33,2006 Porsche Cayman S I 6-SPEED I BOSE I COMING SOON,"$34,910.00 ",Mississauga / Peel Region < 2 minutes ago,"Leather Interior, Heated Seats, Xenon Headlamps, 18 Wheels, ABS brakes, CD player, Power windows, Rear window defroster, Spoiler, Telescoping steering wheel, Traction control. CARFAX Canada No ...
WINNER OF 2014 USED CAR DEALER OF THE YEAR AND 2015 CONSUMER SATISFACTION AWARD
Manual | 123,506 km",Used,2006.0,Porsche,Cayman,S I 6-SPEED I BOSE I COMING SOON,Other,Coupe (2 door),2,2,Rear-wheel drive (RWD),Manual,"123,506"
34,34,2018 BMW M4 RED LEATHER I CARBON FIBRE I COMING SOON,"$79,910.00 ",Mississauga / Peel Region < 2 minutes ago,"Navigation, GPS, Navi, Bluetooth, Back-Up Camera, Leather Interior, Power Liftgate, Heated Seats, USB Connectivity, Sirius XM Radio, Xenon Headlamps, Clean Accident History Report Available, ABS ...
WINNER OF 2014 USED CAR DEALER OF THE YEAR AND 2015 CONSUMER SATISFACTION AWARD
Automatic | 41,184 km",Used,2018.0,BMW,M4,RED LEATHER I CARBON FIBRE I COMING SOON,Other,Sedan,2,4,Other,Automatic,"41,184"
35,35,2017 Chevrolet Corvette STINGRAY I 6-SPEED I CAM I COMING SOON,"$62,910.00 ",Mississauga / Peel Region < 2 minutes ago,"See Dealer Website for Details.
WINNER OF 2014 USED CAR DEALER OF THE YEAR AND 2015 CONSUMER SATISFACTION AWARD
Automatic | 29,599 km",Used,2017.0,Chevrolet,Corvette,STINGRAY I 6-SPEED I CAM I COMING SOON,Other,Coupe (2 door),2,2,Rear-wheel drive (RWD),Automatic,"29,599"
36,36,2015 GMC Savana G3500 - 16Ft Box - V8 Gasoline - Pull Out Ramp,"$25,888.00 ",City of Toronto < 2 minutes ago,"Toronto's Largest Selection of CERTIFIED Pre-Owned Cube Vans - Just Arrived - ALL MAINTENANCE RECORDS (See Carfax Report) - 2015 GMC Savana G3500 16Ft Unicell Box with Roll Up Door and Pull Out Ramp. ...
The Home of YOUR Commercial Vehicle
Automatic | 265,000 km | CARFAX Canada Report",Used,2015.0,GMC,Savana,G3500 - 16Ft Box - V8 Gasoline - Pull Out Ramp,Other,"Minivan, Van",2,2,Rear-wheel drive (RWD),Automatic,"265,000"
37,37,2018 BMW 5 Series 530i xDrive I M-SPORT I HUD I NAV I COMING SOON,"$39,910.00 ",Mississauga / Peel Region < 2 minutes ago,"Navigation, GPS, Navi, Bluetooth, Sunroof / Moonroof, Back-Up Camera, Leather Interior, Local Trade, Power Liftgate, Heated Seats, Head-Up Display, USB Connectivity, Xenon Headlamps, AWD, Black ...
WINNER OF 2014 USED CAR DEALER OF THE YEAR AND 2015 CONSUMER SATISFACTION AWARD
Automatic | 62,885 km",Used,2018.0,BMW,5-Series,530i xDrive I M-SPORT I HUD I NAV I COMING SOON,Other,Sedan,4,5,All-wheel drive (AWD),Automatic,"62,885"
38,38,2016 Subaru BRZ,Please Contact,Mississauga / Peel Region < 2 minutes ago,"See Dealer Website for Details. Additional Options Security System, AM/FM Stereo, Air Conditioning, Alloy Wheels, Anti-Lock Brakes (ABS), CD Player, Driver Side Airbag, Fog Lights, Intermittent ...
Manual | 82,064 km | CARFAX Canada Report",Used,2016.0,Subaru,BRZ,,Other,Coupe (2 door),2,4,Rear-wheel drive (RWD),Manual,"82,064"
39,39,2016 Mercedes-Benz CLA-Class CLA 250 AWD Navigation/Camera/Leather,"$22,499.00 ",City of Toronto < 3 minutes ago,"***FREE 2 YR POWERTRAIN WARRANTY WITH EVERY VEHICLE PURCHASE***CLA250 4MATIC!!!!NAVIGATION,BLK/BLK LEATHER,REAR VIEW CAMERA,137.900KM, FOR ONLY $22.499. Interested in this vehicle? We offer financing ...
Automatic | 137,900 km",Used,2016.0,Mercedes-Benz,CLA,CLA 250 AWD Navigation/Camera/Leather,Black,Sedan,,,All-wheel drive (AWD),Automatic,"137,900"
40,40,2010 Nissan Sentra 2.0,"$3,999.00 ",Oshawa / Durham Region < 3 minutes ago,"Vehicle has had two accidents 2013 and 2016 runs great and would make an excellent winter beater Engine: 4 Cylinder Engine
Automatic | 159,298 km",Used,2010.0,Nissan,Sentra,2,Black,Sedan,,,Front-wheel drive (FWD),Automatic,"159,298"
41,41,2019 Mitsubishi Mirage GT COME EXPERIENCE THE DAVEY DIFFERENCE,"$20,990.00 ",Oshawa / Durham Region < 3 minutes ago,"WAS: $22990 NOW: $20990 plus taxes and licensing fees *PLEASE CALL 905-720-2277 TO BOOK AN APPOINTMENT* *PRICE ADVERTISED AT $20,990 IS OUR FINANCE INCENTIVE PRICE. THE CASH PRICE IS $22,990 PLUS ...
At Davey Auto Sales Everybody Drives!
Automatic | 24,843 km | CARFAX Canada Report",Used,2019.0,Mitsubishi,Mirage,GT,Grey,Wagon,,,Front-wheel drive (FWD),Automatic,"24,843"
42,42,2018 Ram Promaster 2500 159WB HighRoof - V6Gas - Cruise/Btooth/Camera,"$43,777.00 ",City of Toronto < 3 minutes ago,"Just Arrived! 15+ Promaster Vans In Stock - 2018 RAM Promaster 2500 159WB (12Ft Cargo Length) High Roof - Equipped with 3.6L V6 Gasoline Engine, Auto, AC, Back Up Camera, CRUISE CONTROL, Bluetooth, ...
The Home of YOUR Commercial Vehicle
Automatic | 140,000 km | CARFAX Canada Report",Used,2018.0,Ram,Promaster,2500 159WB HighRoof - V6Gas - Cruise/Btooth/Camera,Other,"Minivan, Van",4,2,Front-wheel drive (FWD),Automatic,"140,000"
43,43,2013 Ford F-350 XLT Crew Cab Short Box 4WD,"$21,999.00 ",City of Toronto < 3 minutes ago,"GMM Auto Sales Limited CarFax available for every vehicle on the lot. This vehicle is being sold safety certified at the advertised price. Taxes and Licensing are EXTRA. GMM Auto Sales is a large ...
Automatic | 207,500 km",Used,2013.0,Ford,F-350,XLT Crew Cab Short Box 4WD,White,Pickup Truck,4,4,4 x 4,Automatic,"207,500"
44,44,2019 Honda Ridgeline,"$34,995.00 ",Oshawa / Durham Region < 3 minutes ago,"• Power Windows • Cruise Control • Power Lumbar Support • Fog Lamps • Passenger Multi-Adjust Power Seat • Telescopic Steering Column • Driver Airbag • Front Side Airbag • Passenger Airbag • Side Head ...
Satisfying customers since 1995 with safe, reliable, economical, transportation.
Automatic | 134,111 km",Used,2019.0,Honda,Ridgeline,,Other,Other,,,All-wheel drive (AWD),Automatic,"134,111"
45,45,2022 Ford F-150 XLT 4WD SUPERCREW 5.5' BOX,"$65,370.00
MSRP: $65,370.00",NEW CAR Oshawa / Durham Region < 3 minutes ago,"Say goodbye to your current ride and say hello to your brand-new Ford Escape during the Ford Trade & Upgrade Event at Fraser Ford. Right now, get 0% APR Purchase Financing for up to 72 months On ...
Automatic",New,2022.0,Ford,F-150,XLT 4WD SUPERCREW 5.5' BOX,White,Other,4,,Other,Automatic,
46,46,2008 Chevrolet Uplander 4dr Reg WB LS,"$5,998.00 ",Markham / York Region < 3 minutes ago,"Just Arrived... Only 116 Km - comes with 2 Years Power-train Warranty Meet our great looking 2008 Chevrolet Uplander 1LT EXT presented in Silver Metallic. Powered by a 3.9 Liter V6 offering 240hp ...
*Family Owned Dealership, We Treat Everyone Like Family*70 Cars/SUVs in Stock* FINANCING Any Car & Any Credit, Car Buying Made EASY *OPEN 7 DAYS*
Automatic | 116,000 km",Used,2008.0,Chevrolet,Uplander,4dr Reg WB LS,Other,Other,4,5,Front-wheel drive (FWD),Automatic,"116,000"
47,47,2019 Ram Promaster 2500 159WB High Roof - V6 Gas - B/U Cam/Bluetooth,"$48,888.00 ",City of Toronto < 3 minutes ago,"10 + Ram Promaster Cargo Vans in Inventory - Just Arrived with only 83,000km - 2019 Ram Promaster 2500 159WB High Roof Cargo Van - Equipped with 3.6L V6 Gasoline Engine, Auto, AC, ABS, Bluetooth, ...
The Home of YOUR Commercial Vehicle
Automatic | 83,000 km | CARFAX Canada Report",Used,2019.0,Ram,Promaster,2500 159WB High Roof - V6 Gas - B/U Cam/Bluetooth,Other,"Minivan, Van",2,2,Front-wheel drive (FWD),Automatic,"83,000"
48,48,2019 Volkswagen Golf GTI Autobahn Auto Sunroof Active Safety,"$33,994.00 ",City of Toronto < 3 minutes ago,"Experience the uncompromising driving experience of this 2019 Volkswagen Golf GTI Autobahn Auto! It delivers a Intercooled Turbo Premium Unleaded I-4 2.0 L/121 engine powering this Automatic ...
COMPARE this vehicle and our reputation to the rest and get the best value for your money with us. 2 locations and over 1300 vehicles.
Automatic | 40,182 km",Used,2019.0,Volkswagen,GTI,Autobahn Auto Sunroof Active Safety Fender Sound,Other,"Minivan, Van",4,5,Front-wheel drive (FWD),Automatic,"40,182"
49,49,2014 Mazda CX-5 GS/ AWD / SUNROOF / PUSH START / HEATED SEATS /AC,"$11,000.00 ",City of Toronto < 4 minutes ago,"CERTIFICATION AVAILABLE FOR $695 *ASKING PRICE INCLUDES: -FREE OIL CHANGE -FREE RUST PROOFING -FREE AIR FILTER AND CABIN FILTER REPLACEMENT CALL US TODAY FOR MORE DETAILS WERE OPEN 7 DAYS A WEEK TO ...
WWW.EXECUTIVE-MOTORS.CA
Automatic | 210,000 km",Used,2014.0,Mazda,CX-5,GS/ AWD / SUNROOF / PUSH START / HEATED SEATS /AC,White,"SUV, Crossover",,,All-wheel drive (AWD),Automatic,"210,000"
50,50,2021 Ram Promaster 2500 159WB High Roof - V6 Gas - Btooth/Cruise/Cam,"$63,888.00 ",City of Toronto < 4 minutes ago,"Just Arrived - THREE To Choose From - 2021 Ram Promaster 2500 159WB High Roof Cargo Vans WITH DUAL SIDE SLIDING DOORS - 74,000km, 77,000km & 84,000km - FULLY LOADED - 3.6L V6 Gasoline Engine, Auto, ...
The Home of YOUR Commercial Vehicle
Automatic | 77,000 km | CARFAX Canada Report",Used,2021.0,Ram,Promaster,2500 159WB High Roof - V6 Gas - Btooth/Cruise/Cam,Other,"Minivan, Van",2,2,Front-wheel drive (FWD),Automatic,"77,000"
